school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
Shiloh High School,18,287,482,191,39.6,15.8,14.3,15.3,17.5,15.8,12,88.67,41.43,1.9
Shiloh Middle School,1,,,,,,,,,,,,,
Simpson Middle School,2,,,,,,,,,,,,,
Skyview High School,,,,,,,,,,,,32.2,,30.7
Smitha Middle School,5,,,,,,,,,,,,,
Snellville Middle School,1,,,,,,,,,,,,,
Snodon Preparatory School,2,2,,,,,,,,,,,,
Social Circle High School,6,76,84,45,53.6,21.0,20.8,19.6,22.2,21.2,24,88.65,52.8,2.0
Sonoraville High School,3,32,40,29,72.5,20.7,19.4,20.3,21.9,20.6,16,94.76,65.45,1.3
South Atlanta High School,,,,,,,,,,,,86.51,35.08,2.7
South Atlanta Law and Social Justice School,7,90,128,12,9.4,15.9,14.7,16.9,15.5,16.2,22,73.85,,7.1
South Atlanta School of Computer Animation and Design,6,20,32,13,40.6,16.1,14.8,16.0,16.3,16.6,67,71.05,,4.7
South Atlanta School of Health and Medical Science,8,120,151,53,35.1,14.6,12.6,14.9,15.4,14.7,125,76.54,,5.0
South Cobb High School,15,162,307,172,56.0,17.7,15.7,17.3,18.4,18.5,41,87.9,36.84,2.9
South Effingham High School,22,309,562,422,75.1,20.3,18.9,19.8,21.3,20.6,30,94.73,52.0,2.1
South Effingham Middle School,2,,,,,,,,,,,,,
South Forsyth High School,35,1574,3505,3096,88.3,25.2,24.8,24.3,26.3,24.9,173,98.7,78.62,0.6
"South Georgia Regional Achievement Center, The Phoenix",,,,,,,,,,,,,,11.5
South Gwinnett High School,21,604,1053,316,30.0,18.3,16.8,18.4,18.6,18.5,24,88.37,39.85,1.9
South Habersham Middle School,1,,,,,,,,,,,,,
South Paulding High School,16,151,233,172,73.8,17.8,16.3,17.7,19.1,17.6,24,91.28,44.4,2.7
Southeast Bulloch High School,8,135,190,157,82.6,20.6,19.1,19.9,22.1,20.8,14,91.47,60.77,1.4
Southeast Bulloch Middle School,1,,,,,,,,,,,,,
Southeast Whitfield County High School,13,123,194,137,70.6,18.4,17.8,18.3,18.7,18.4,54,93.17,51.13,1.4
Southwest DeKalb High School,14,220,305,152,49.8,18.5,18.7,17.7,19.7,17.9,22,90.57,33.72,3.1
